source,rating,text,date,author,date_parsed
Google,5,A great place to go for the events. It's great to have a new and modern stadium. Now if only the Nets were any good ...,12/30/2025 01:46:28,Andreas Schulmeyer,2025-12-30 01:46:28
Google,4,"Die Arena ist modern und sauber und leicht mit der U-Bahn zuerreichen. Wir waren für ein Nets Spiel dort. Nimmt man den Eingang der auf dem Ticket steht, kommt man unkompliziert in die Arena. Die Preise für die Getränke sind hoch. Ein großes Getränk reicht für zwei Personen.",12/29/2025 08:18:17,Der Welcher,2025-12-29 08:18:17
Google,5,Great place to watch basketball.,12/26/2025 22:26:24,Denise Goodnow,2025-12-26 22:26:24
Google,5,"Kažu da neke kafane nisu samo zidovi, stolovi i stolice.
One su priče. Uspomene. Glasovi.
Neka mesta postanu deo tebe — a Vinovlačara je bila baš to.",12/26/2025 15:04:52,Lazar Ciric,2025-12-26 15:04:52
Google,5,"Great experience, come on Brooklyn!",12/25/2025 21:30:28,Sebastián Mena P.,2025-12-25 21:30:28
Google,5,Wish I can go every event in the building,12/25/2025 19:46:18,Nathaniel Britton,2025-12-25 19:46:18
Google,4,"This arena is great, the building is fantastic and you feel like youre really ""in"" the game, easy sight lines, and overall a great show. The concessions were a bit mid, however. The staff serving them were fine, but the food itself were bland, for example the boneless chicken wings were chewy and way over sauced. Prices were fine.

Would definitely see another game or concert here, though.",12/25/2025 18:32:17,Ray Morrell,2025-12-25 18:32:17
Google,5,A vibe you can't get anywhere else!,12/25/2025 17:18:13,james williams,2025-12-25 17:18:13
Google,5,Nets aren't in playoff contention,12/25/2025 17:01:26,nathsn,2025-12-25 17:01:26
Google,5,The Nets suck but at least the tickets were cheap.,12/25/2025 16:04:38,Doruk Toklu,2025-12-25 16:04:38
Google,5,Was a great experience except for the expensive Meal,12/24/2025 20:43:19,Tobias Toney,2025-12-24 20:43:19
Google,1,"I dont think was smart for them at this location. Its just too much and ruined Brooklyn NY
But otherwise its here what can you say",12/24/2025 12:50:35,Ether Shakur,2025-12-24 12:50:35
Google,5,Great venue. We watched jonas brothers perform. It was mesmerizing,12/24/2025 03:39:35,Uma Prasad,2025-12-24 03:39:35
Google,2,"It's a dirty,  unorganized staffed Arena 🫤 it's NYC area dammit ☝!  it should be the best ☝️shame, very disappointed !  The Jonas Brothers was awesome 👌 👏",12/23/2025 23:12:47,capricornyc,2025-12-23 23:12:47
Google,3,While entrance into the Barclays was easy fast and painless. The Everest like climb to our seats wasn’t. We sat on what seemed to be about as big as a deck of cards. The ushers and staff were super friendly. But I’ll try to buy floor level next time.,12/23/2025 16:49:05,bernard heffern,2025-12-23 16:49:05
Google,5,Quick and easy to enter and get to your seats. It’s so effective getting fans in and out the stadium.,12/23/2025 13:27:23,LaKeitha Walton,2025-12-23 13:27:23
Google,5,Great venue for NBA basketball.,12/23/2025 09:19:25,Father Mike,2025-12-23 09:19:25
Google,5,"Modernes Stadion mit Top-Stimmung während dem Basketballspiel!
Ich komme wieder, wenn ich das nächste mal in New York bin.",12/23/2025 08:52:15,Fabio Ratte,2025-12-23 08:52:15
