factor,pre_championship,post_championship,sustainability
Regular Season Attendance,"~12,000 avg","15,847 avg (+32%)",High if team competitive
Finals Game Attendance,N/A,"18,090 (sold out)",Repeatable if make playoffs
Ticket Demand Index,Moderate,Very High,Will normalize without repeat
Season Ticket Renewals,75%,95%,High with good service
New Season Ticket Sales,500/year,"2,500+ (5x increase)",Depends on 2025 season
Merchandise Sales,Baseline,+300%,Will decline 50% but stay elevated
Corporate Partnership Inquiries,10/month,50+/month (5x),Most will convert
Media Coverage,Local only,National spotlight,Depends on star power
Social Media Growth,+5% monthly,+150% spike,Retain with content
Premium Seat Demand,60% sold,95% sold,High for 1-2 years
