SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22024,1610612751,BKN,Brooklyn Nets,0022401188,2025-04-13,BKN vs. NYK,L,239,105,38,74,0.514,12,35,0.343,17,25,0.68,6,36,42,21,4,2,18,24,-8.0
22024,1610612751,BKN,Brooklyn Nets,0022401179,2025-04-11,BKN @ MIN,L,240,91,33,90,0.367,12,41,0.293,13,17,0.765,15,26,41,24,7,1,9,24,-26.0
22024,1610612751,BKN,Brooklyn Nets,0022401169,2025-04-10,BKN vs. ATL,L,239,109,36,90,0.4,22,52,0.423,15,22,0.682,10,31,41,31,8,2,17,26,-24.0
22024,1610612751,BKN,Brooklyn Nets,0022401150,2025-04-08,BKN vs. NOP,W,241,119,41,83,0.494,17,40,0.425,20,24,0.833,7,33,40,30,11,4,16,22,5.0
22024,1610612751,BKN,Brooklyn Nets,0022401134,2025-04-06,BKN vs. TOR,L,240,109,39,82,0.476,10,35,0.286,21,27,0.778,8,38,46,25,8,7,23,18,-11.0
22024,1610612751,BKN,Brooklyn Nets,0022401113,2025-04-03,BKN vs. MIN,L,240,90,38,89,0.427,11,36,0.306,3,4,0.75,8,26,34,30,11,0,10,17,-15.0
22024,1610612751,BKN,Brooklyn Nets,0022401095,2025-03-31,BKN @ DAL,W,240,113,39,90,0.433,20,51,0.392,15,20,0.75,7,33,40,32,6,3,8,23,4.0
22024,1610612751,BKN,Brooklyn Nets,0022401075,2025-03-29,BKN @ WAS,W,240,115,39,88,0.443,18,46,0.391,19,20,0.95,12,37,49,25,2,4,12,23,3.0
22024,1610612751,BKN,Brooklyn Nets,0022401068,2025-03-28,BKN vs. LAC,L,242,100,33,89,0.371,14,47,0.298,20,26,0.769,10,33,43,27,10,3,14,21,-32.0
22024,1610612751,BKN,Brooklyn Nets,0022401054,2025-03-26,BKN vs. TOR,L,239,86,31,87,0.356,8,41,0.195,16,19,0.842,10,33,43,16,6,9,19,21,-30.0
22024,1610612751,BKN,Brooklyn Nets,0022401040,2025-03-24,BKN vs. DAL,L,240,101,40,78,0.513,11,33,0.333,10,14,0.714,9,28,37,30,7,2,18,15,-19.0
22024,1610612751,BKN,Brooklyn Nets,0022401024,2025-03-22,BKN @ IND,L,241,103,39,90,0.433,15,43,0.349,10,17,0.588,11,37,48,20,6,1,14,20,-5.0
22024,1610612751,BKN,Brooklyn Nets,0022401011,2025-03-20,BKN @ IND,L,266,99,36,101,0.356,14,50,0.28,13,18,0.722,14,33,47,20,11,4,16,24,-6.0
22024,1610612751,BKN,Brooklyn Nets,0022400994,2025-03-18,BKN @ BOS,L,240,96,36,88,0.409,13,45,0.289,11,17,0.647,8,31,39,21,9,2,8,19,-8.0
22024,1610612751,BKN,Brooklyn Nets,0022400978,2025-03-16,BKN vs. ATL,W,240,122,43,90,0.478,17,35,0.486,19,23,0.826,12,28,40,33,7,5,15,18,8.0
22024,1610612751,BKN,Brooklyn Nets,0022400968,2025-03-15,BKN vs. BOS,L,242,113,42,90,0.467,20,46,0.435,9,13,0.692,18,27,45,34,4,3,9,21,-2.0
22024,1610612751,BKN,Brooklyn Nets,0022400956,2025-03-13,BKN @ CHI,L,239,110,43,96,0.448,11,34,0.324,13,18,0.722,15,35,50,32,6,7,9,26,-6.0
22024,1610612751,BKN,Brooklyn Nets,0022400940,2025-03-11,BKN @ CLE,L,240,104,39,84,0.464,16,44,0.364,10,14,0.714,8,30,38,31,9,3,12,21,-5.0
22024,1610612751,BKN,Brooklyn Nets,0022400930,2025-03-10,BKN vs. LAL,W,240,111,37,90,0.411,18,45,0.4,19,30,0.633,16,31,47,22,10,6,7,16,3.0
22024,1610612751,BKN,Brooklyn Nets,0022400912,2025-03-08,BKN @ CHA,L,239,102,38,82,0.463,14,50,0.28,12,15,0.8,8,29,37,20,6,10,11,19,-3.0
22024,1610612751,BKN,Brooklyn Nets,0022400901,2025-03-06,BKN vs. GSW,L,241,119,44,87,0.506,15,33,0.455,16,18,0.889,8,24,32,30,7,5,11,24,-2.0
22024,1610612751,BKN,Brooklyn Nets,0022400888,2025-03-04,BKN @ SAS,L,240,113,39,86,0.453,17,50,0.34,18,21,0.857,11,29,40,29,8,2,13,16,-14.0
22024,1610612751,BKN,Brooklyn Nets,0022400861,2025-03-01,BKN @ DET,L,241,94,29,95,0.305,6,39,0.154,30,35,0.857,14,24,38,19,12,8,12,24,-21.0
22024,1610612751,BKN,Brooklyn Nets,0022400853,2025-02-28,BKN vs. POR,L,238,102,36,87,0.414,7,29,0.241,23,27,0.852,21,24,45,20,13,2,21,23,-19.0
22024,1610612751,BKN,Brooklyn Nets,0022400840,2025-02-26,BKN vs. OKC,L,240,121,38,93,0.409,23,61,0.377,22,25,0.88,18,28,46,31,7,5,14,25,-8.0
22024,1610612751,BKN,Brooklyn Nets,0022400824,2025-02-24,BKN @ WAS,L,240,99,33,84,0.393,14,36,0.389,19,24,0.792,16,23,39,25,16,4,15,28,-8.0
22024,1610612751,BKN,Brooklyn Nets,0022400807,2025-02-22,BKN @ PHI,W,241,105,41,81,0.506,7,28,0.25,16,19,0.842,9,30,39,27,10,8,16,19,2.0
22024,1610612751,BKN,Brooklyn Nets,0022400791,2025-02-20,BKN vs. CLE,L,240,97,38,95,0.4,10,38,0.263,11,19,0.579,14,31,45,25,7,10,15,23,-13.0
22024,1610612751,BKN,Brooklyn Nets,0022400772,2025-02-12,BKN vs. PHI,W,239,100,40,85,0.471,8,30,0.267,12,15,0.8,16,34,50,23,13,7,16,18,4.0
