date,day_of_week,opponent,seatgeek_price
2025-12-29,Monday,Golden State Warriors,219.11
2026-01-01,Thursday,Houston Rockets,89.74
2026-01-04,Sunday,Denver Nuggets,70.73
2026-01-07,Wednesday,Orlando Magic,21.73
2026-01-09,Friday,LA Clippers,34.88
2026-01-16,Friday,Chicago Bulls,34.88
2026-01-19,Monday,Phoenix Suns,22.92
2026-01-23,Friday,Boston Celtics,58.78
2026-02-03,Tuesday,Los Angeles Lakers,207.3
2026-02-07,Saturday,Washington Wizards,22.92
2026-02-09,Monday,Chicago Bulls,16.95
2026-02-11,Wednesday,Indiana Pacers,16.72
2026-02-12,Thursday,Barclays Center Tours,
2026-02-16,Monday,Barclays Center Tours,
2026-02-24,Tuesday,Dallas Mavericks,51.14
2026-02-26,Thursday,San Antonio Spurs,106.59
2026-03-01,Sunday,Cleveland Cavaliers,40.86
2026-03-09,Monday,Memphis Grizzlies,18.92
2026-03-10,Tuesday,Detroit Pistons,21.4
2026-03-16,Monday,Portland Trail Blazers,22.92
2026-03-18,Wednesday,Oklahoma City Thunder,50.16
2026-03-20,Friday,New York Knicks,162.35
2026-03-29,Sunday,Sacramento Kings,28.9
2026-03-31,Tuesday,Charlotte Hornets,20.32
2026-04-03,Friday,Atlanta Hawks,40.86
2026-04-05,Sunday,Washington Wizards,22.92
2026-04-07,Tuesday,Milwaukee Bucks,46.46
2026-04-09,Thursday,Indiana Pacers,34.29
