event_id,title,date,time,day_of_week,month,home_team,away_team,opponent,is_nets_home,venue_name,venue_city,venue_state,venue_capacity,lowest_price,average_price,highest_price,median_price,lowest_sg_base_price,lowest_price_good_deals,listing_count,visible_listing_count,dq_bucket_counts,score,popularity,announce_date,url
17670929,Brooklyn Nets at Minnesota Timberwolves,2025-12-27,19:00,Saturday,December,Minnesota Timberwolves,Brooklyn Nets,Minnesota Timberwolves,False,Target Center,Minneapolis,MN,25500,,,,,,,,,,0.7294391502,0.8954012198,2025-08-14T00:00:00,https://seatgeek.com/minnesota-timberwolves-tickets/12-27-2025-minneapolis-minnesota-target-center/nba/17670929
17670063,Golden State Warriors at Brooklyn Nets,2025-12-29,19:30,Monday,December,Brooklyn Nets,Golden State Warriors,Golden State Warriors,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.8473984331,0.9077775899,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/12-29-2025-brooklyn-new-york-barclays-center/nba/17670063
17670065,Houston Rockets at Brooklyn Nets,2026-01-01,18:00,Thursday,January,Brooklyn Nets,Houston Rockets,Houston Rockets,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.8590347402,0.8810148692,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/1-1-2026-brooklyn-new-york-barclays-center/nba/17670065
17671307,Brooklyn Nets at Washington Wizards,2026-01-02,19:00,Friday,January,Washington Wizards,Brooklyn Nets,Washington Wizards,False,Capital One Arena,Washington,DC,20173,,,,,,,,,,0.7177966437,0.8289922616,2025-08-14T00:00:00,https://seatgeek.com/washington-wizards-tickets/1-2-2026-washington-district-of-columbia-capital-one-arena/nba/17671307
17670066,Denver Nuggets at Brooklyn Nets,2026-01-04,15:30,Sunday,January,Brooklyn Nets,Denver Nuggets,Denver Nuggets,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.7730831133,0.8761448368,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/1-4-2026-brooklyn-new-york-barclays-center/nba/17670066
17670067,Orlando Magic at Brooklyn Nets,2026-01-07,19:30,Wednesday,January,Brooklyn Nets,Orlando Magic,Orlando Magic,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.6476000384,0.8201459055,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/1-7-2026-brooklyn-new-york-barclays-center/nba/17670067
17670071,Los Angeles Clippers at Brooklyn Nets,2026-01-09,19:30,Friday,January,Brooklyn Nets,Los Angeles Clippers,Los Angeles Clippers,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.6731109041,0.8225510232,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/1-9-2026-brooklyn-new-york-barclays-center/nba/17670071
17671237,Brooklyn Nets at Memphis Grizzlies,2026-01-11,14:30,Sunday,January,Memphis Grizzlies,Brooklyn Nets,Memphis Grizzlies,False,FedExForum,Memphis,TN,19000,,,,,,,,,,0.6042818754,0.8062001875,2025-08-14T00:00:00,https://seatgeek.com/memphis-grizzlies-tickets/1-11-2026-memphis-tennessee-fedexforum/nba/17671237
17670312,Brooklyn Nets at Dallas Mavericks,2026-01-12,19:30,Monday,January,Dallas Mavericks,Brooklyn Nets,Dallas Mavericks,False,American Airlines Center,Dallas,TX,18584,,,,,,,,,,0.645771633,0.8292203874,2025-08-14T00:00:00,https://seatgeek.com/dallas-mavericks-tickets/1-12-2026-dallas-texas-american-airlines-center/nba/17670312
17632269,Brooklyn Nets at New Orleans Pelicans,2026-01-14,19:00,Wednesday,January,New Orleans Pelicans,Brooklyn Nets,New Orleans Pelicans,False,Smoothie King Center,New Orleans,LA,0,,,,,,,,,,0.6149070674,0.8008179716,2025-07-17T00:00:00,https://seatgeek.com/new-orleans-pelicans-tickets/1-14-2026-new-orleans-louisiana-smoothie-king-center/nba/17632269
17670072,Chicago Bulls at Brooklyn Nets,2026-01-16,19:00,Friday,January,Brooklyn Nets,Chicago Bulls,Chicago Bulls,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.6414124533,0.8215655641,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/1-16-2026-brooklyn-new-york-barclays-center/nba/17670072
17670236,Brooklyn Nets at Chicago Bulls,2026-01-18,18:00,Sunday,January,Chicago Bulls,Brooklyn Nets,Chicago Bulls,False,United Center,Chicago,IL,23500,,,,,,,,,,0.632210615,0.8206441148,2025-08-14T00:00:00,https://seatgeek.com/chicago-bulls-tickets/1-18-2026-chicago-illinois-united-center/nba/17670236
17670075,Phoenix Suns at Brooklyn Nets,2026-01-19,19:30,Monday,January,Brooklyn Nets,Phoenix Suns,Phoenix Suns,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.6227032787,0.8192122193,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/1-19-2026-brooklyn-new-york-barclays-center/nba/17670075
17669594,Brooklyn Nets at New York Knicks,2026-01-21,19:30,Wednesday,January,New York Knicks,Brooklyn Nets,New York Knicks,False,Madison Square Garden,New York,NY,20000,,,,,,,,,,0.7386500744,0.8703762883,2025-08-14T00:00:00,https://seatgeek.com/new-york-knicks-tickets/1-21-2026-new-york-new-york-madison-square-garden/nba/17669594
