event_id,title,date,time,day_of_week,month,home_team,away_team,opponent,is_nets_home,venue_name,venue_city,venue_state,venue_capacity,lowest_price,average_price,highest_price,median_price,lowest_sg_base_price,lowest_price_good_deals,listing_count,visible_listing_count,dq_bucket_counts,score,popularity,announce_date,url
17670063,Golden State Warriors at Brooklyn Nets,2025-12-29,19:30,Monday,December,Brooklyn Nets,Golden State Warriors,Golden State Warriors,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.8473984331,0.9077775899,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/12-29-2025-brooklyn-new-york-barclays-center/nba/17670063
17670065,Houston Rockets at Brooklyn Nets,2026-01-01,18:00,Thursday,January,Brooklyn Nets,Houston Rockets,Houston Rockets,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.8590347402,0.8810148692,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/1-1-2026-brooklyn-new-york-barclays-center/nba/17670065
17670066,Denver Nuggets at Brooklyn Nets,2026-01-04,15:30,Sunday,January,Brooklyn Nets,Denver Nuggets,Denver Nuggets,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.7730831133,0.8761448368,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/1-4-2026-brooklyn-new-york-barclays-center/nba/17670066
17670067,Orlando Magic at Brooklyn Nets,2026-01-07,19:30,Wednesday,January,Brooklyn Nets,Orlando Magic,Orlando Magic,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.6476000384,0.8201459055,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/1-7-2026-brooklyn-new-york-barclays-center/nba/17670067
17670071,Los Angeles Clippers at Brooklyn Nets,2026-01-09,19:30,Friday,January,Brooklyn Nets,Los Angeles Clippers,Los Angeles Clippers,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.6731109041,0.8225510232,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/1-9-2026-brooklyn-new-york-barclays-center/nba/17670071
17670072,Chicago Bulls at Brooklyn Nets,2026-01-16,19:00,Friday,January,Brooklyn Nets,Chicago Bulls,Chicago Bulls,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.6414124533,0.8215655641,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/1-16-2026-brooklyn-new-york-barclays-center/nba/17670072
17670075,Phoenix Suns at Brooklyn Nets,2026-01-19,19:30,Monday,January,Brooklyn Nets,Phoenix Suns,Phoenix Suns,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.6227032787,0.8192122193,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/1-19-2026-brooklyn-new-york-barclays-center/nba/17670075
17670077,Boston Celtics at Brooklyn Nets,2026-01-23,19:30,Friday,January,Brooklyn Nets,Boston Celtics,Boston Celtics,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.6870623028,0.8369268698,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/1-23-2026-brooklyn-new-york-barclays-center/nba/17670077
17670078,Los Angeles Lakers at Brooklyn Nets,2026-02-03,19:30,Tuesday,February,Brooklyn Nets,Los Angeles Lakers,Los Angeles Lakers,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.7447941624,0.8633787546,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/2-3-2026-brooklyn-new-york-barclays-center/nba/17670078
17670081,Washington Wizards at Brooklyn Nets,2026-02-07,15:00,Saturday,February,Brooklyn Nets,Washington Wizards,Washington Wizards,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.5720802336,0.7995419838,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/2-7-2026-brooklyn-new-york-barclays-center/nba/17670081
17670082,Chicago Bulls at Brooklyn Nets,2026-02-09,19:30,Monday,February,Brooklyn Nets,Chicago Bulls,Chicago Bulls,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.5060154442,0.7467040393,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/2-9-2026-brooklyn-new-york-barclays-center/nba/17670082
17670084,Indiana Pacers at Brooklyn Nets,2026-02-11,19:30,Wednesday,February,Brooklyn Nets,Indiana Pacers,Indiana Pacers,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.508496001,0.7701351389,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/2-11-2026-brooklyn-new-york-barclays-center/nba/17670084
17670087,Dallas Mavericks at Brooklyn Nets,2026-02-24,19:30,Tuesday,February,Brooklyn Nets,Dallas Mavericks,Dallas Mavericks,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.6096170583,0.7931834581,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/2-24-2026-brooklyn-new-york-barclays-center/nba/17670087
17670089,San Antonio Spurs at Brooklyn Nets,2026-02-26,19:30,Thursday,February,Brooklyn Nets,San Antonio Spurs,San Antonio Spurs,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.6418007299,0.8210464956,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/2-26-2026-brooklyn-new-york-barclays-center/nba/17670089
17670090,Cleveland Cavaliers at Brooklyn Nets,2026-03-01,15:30,Sunday,March,Brooklyn Nets,Cleveland Cavaliers,Cleveland Cavaliers,True,Barclays Center,Brooklyn,NY,0,,,,,,,,,,0.6166348731,0.8173457444,2025-08-14T00:00:00,https://seatgeek.com/brooklyn-nets-tickets/3-1-2026-brooklyn-new-york-barclays-center/nba/17670090
